#kgID	geneSymbol
uc007aso.1	Eif5b
uc007asw.1	AK048050
uc007atb.1	Nms
uc057aui.1	Nms
uc007atc.1	Pdcl3
uc007atd.2	Npas2
uc007atf.3	Rpl31
uc029qnw.2	Rpl31
uc029qnx.2	Rpl31
uc007ate.2	Rpl31
uc007ati.2	Cnot11
uc007atj.2	Cnot11
uc011wjv.1	Map4k4
uc011wjw.1	Map4k4
uc007atr.1	Map4k4
uc011wjx.1	Map4k4
uc007ats.1	Map4k4
uc007atu.3	Il1r2
uc011wjy.3	Il1r2
uc007atv.1	Il1r1
uc007atw.1	Il1r1
uc007atx.1	Il1rl2
uc007aty.1	Il1rl2
uc007aub.4	Il1rl1
uc007aua.3	Il1rl1
uc007atz.4	Il1rl1
uc011wjz.1	Il18r1
uc007aud.1	Il18r1
uc007auf.1	Il18r1
uc033fiw.1	Il18r1
uc007aug.1	Il18r1
uc007aue.1	Il18r1
uc007auk.2	Il18rap
uc007auj.1	Il18rap
uc007aui.1	Il18rap
uc007aul.1	Slc9a4
uc007aun.1	Slc9a2
uc007aum.1	Slc9a2
uc007auq.1	Tmem182
uc007auw.2	Pou3f3
uc007aux.2	2900092D14Rik
uc056ycq.1	Dalir
uc007ava.2	Mrps9
uc007avb.1	Mrps9
uc007auz.2	Mrps9
uc007avd.2	Gpr45
uc033fiy.1	Gpr45
uc007avc.2	Gpr45
uc007avj.1	AI597479
uc007avm.2	Rpl29
uc007avo.2	Nck2
uc007avn.1	Nck2
uc007avp.2	1500015O10Rik
uc007avs.2	Tpp2
uc007avt.2	Tpp2
uc011wkb.2	Tpp2
uc007avu.1	Tpp2
uc007avr.2	Tpp2
uc007awf.2	Bivm
uc007awe.2	Bivm
uc007awd.2	Bivm
uc007awi.2	Ercc5
uc007awj.1	Ercc5
uc007awh.2	Ercc5
uc007awm.2	Gulp1
uc007awl.2	Gulp1
uc007awn.2	Gulp1
uc007awq.2	Col3a1
uc007awp.2	Col3a1
uc029qob.1	AK139585
uc011wkd.2	AB345950
uc029qoc.1	AB343474
uc029qod.1	AB353040
uc007awt.1	Wdr75
uc011wkg.1	Wdr75
uc007awx.2	Dnah7b
uc007awz.2	Dnah7b
uc007awy.2	Dnah7b
uc007axa.1	AK219219
uc007axb.2	Dnah7c
uc007axe.1	AK219219
uc007axf.1	C230029F24Rik
uc007axj.1	Tmeff2
uc007axi.1	Tmeff2
uc007axh.1	AK020188
uc007axk.1	Cavin2
uc011wkn.2	Stat4
uc007axx.2	Stat4
uc007axw.2	Stat4
uc007aya.2	Stat1
uc007ayb.2	Stat1
uc007ayc.2	Stat1
uc007axz.1	Stat1
uc007ayd.2	Stat1
uc007axy.1	Stat1
uc029qoi.1	DQ715306
uc029qoj.1	Nemp2
uc011wkp.1	Nemp2
uc029qok.1	Nemp2
uc007ayk.3	Nemp2
uc029qol.1	Nemp2
uc007ayp.2	Hibch
uc011wkr.2	Hibch
uc007ayt.2	Mstn
uc007ayw.1	AK052226
uc011wks.1	Ormdl1
uc007ayy.2	Ormdl1
uc011wkt.3	Osgepl1
uc007azb.3	Osgepl1
uc007azc.3	Osgepl1
uc007aza.2	Osgepl1
uc007azd.3	Osgepl1
uc033fjb.1	Mir7681
uc007azo.1	Ccdc150
uc011wkx.1	Ccdc150
uc007azn.1	Ccdc150
uc007azt.1	AK015376
uc007azz.1	Coq10b
uc007baa.1	Coq10b
uc057aum.1	AK163399
uc007bac.2	Hspe1
uc007bad.1	Mob4
uc057aun.1	Mob4
uc007bae.1	Mob4
uc007baf.1	AK165532
uc029qon.1	AB352621
uc007bai.1	AK135004
uc007baj.1	Mars2
uc007ban.2	Plcl1
uc007bao.2	9130227L01Rik
uc007bap.2	9130227L01Rik
uc007baq.1	1700003I22Rik
uc056yct.1	1700003I22Rik
uc011wld.1	9130024F11Rik
uc029qoo.1	9130024F11Rik
uc007bat.2	9130024F11Rik
uc007bay.3	1700066M21Rik
uc007bbc.2	Maip1
uc007bbd.2	Spats2l
uc007bbe.2	Spats2l
uc007bbk.2	Sgo2a
uc011wlj.1	Sgo2a
uc007bbl.1	Aox1
uc007bbm.1	Aox3
uc007bbn.1	Aox3
uc007bbo.2	Aox4
uc007bbp.1	Aox2
uc007bbr.1	Bzw1
uc007bbq.1	Bzw1
uc007bcb.1	Nif3l1
uc007bca.1	Nif3l1
uc007bbz.1	Nif3l1
uc007bcg.1	AK053027
uc007bcf.1	AK144771
uc007bck.2	Ndufb3
uc007bcl.1	Gm20257
uc007bcn.3	Cflar
uc007bcq.3	Cflar
uc007bco.3	Cflar
uc056ycx.1	Cflar
uc007bcp.1	Cflar
uc007bcr.1	Cflar
uc033fjc.1	Casp8
uc007bct.1	Casp8
uc007bcs.1	Casp8
uc007bcy.2	Stradb
uc007bcz.2	Stradb
uc007bcx.1	Stradb
uc007bda.1	Stradb
uc007bdr.2	Cdk15
uc007bdq.2	Cdk15
uc007bds.2	Cdk15
uc011wlq.1	Fzd7
uc007bdv.1	Gm973
uc007bdy.1	Nop58
uc011wlr.1	Snord70
uc011wls.1	Snord11
uc007bdz.2	Bmpr2
uc011wlt.2	Fam117b
uc007bei.2	Carf
uc007beh.2	Carf
uc011wlv.2	Carf
uc011wlw.3	Carf
uc011wlu.2	Carf
uc057aup.1	AK164905
uc029qos.1	AB347871
uc007bej.1	Nbeal1
uc011wlx.1	Nbeal1
uc007bek.1	Nbeal1
uc011wly.1	Nbeal1
uc007bel.1	AK041465
uc056yda.1	AK038131
uc007ben.2	Cyp20a1
uc007beo.2	Cyp20a1
uc007bem.2	Cyp20a1
uc007bep.2	Abi2
uc007ber.2	Abi2
uc007beq.2	Abi2
uc007beu.1	AK217854
uc007bew.2	Cd28
uc007bev.2	Cd28
uc007bey.1	AK009383
uc007bez.2	Ctla4
uc007bfa.2	Ctla4
uc011wlz.3	Icos
uc057auq.1	AK137839
uc029qot.1	9530026F06Rik
uc007bfe.2	Pard3b
uc011wma.1	Pard3b
uc007bfd.2	Pard3b
uc007bfc.2	Pard3b
uc057aur.1	AK050953
uc007bfl.1	Nrp2
uc007bfm.1	Nrp2
uc007bfn.1	Nrp2
uc007bfo.1	Nrp2
uc007bfj.1	Nrp2
uc007bfk.1	Nrp2
uc007bfp.1	Nrp2
uc007bfi.1	Nrp2
uc007bft.2	Ino80dos
uc029qov.1	Ino80dos
uc007bfz.2	Eef1b2
uc011wme.1	Snora41
uc033fje.1	Zdbf2
uc007bgb.2	Zdbf2
uc007bgc.2	Zdbf2
uc033fjf.1	Zdbf2
uc007bgg.2	Adam23
uc007bgf.4	Adam23
uc007bge.2	Adam23
uc007bgd.2	Adam23
uc011wmf.2	Adam23
uc007bgh.2	Adam23
uc057kfs.1	LC088498
uc007bgl.2	Fastkd2
uc007bgk.3	Fastkd2
uc007bgm.2	Gm13749
uc007bgr.1	Creb1
uc007bgs.1	Creb1
uc007bgt.1	Creb1
uc011wmg.1	Creb1
uc007bgx.2	Ccnyl1
uc007bhs.1	Pikfyve
uc007bht.1	Pikfyve
uc007bhr.1	Pikfyve
uc007bhq.1	Pikfyve
uc007bhp.1	Pikfyve
uc007bho.1	Pikfyve
uc007bhu.1	Pth2r
uc007bhv.1	Crygf
uc007bhw.1	Map2
uc007bhz.2	Map2
uc007bhx.1	Map2
uc007bia.1	Map2
uc007bib.1	Map2
uc007bid.1	Map2
uc007bhy.2	Map2
uc007bic.1	Map2
uc007bie.1	Map2
uc007bih.2	Unc80
uc011wmk.1	Unc80
uc007bif.2	Unc80
uc007bii.2	Unc80
uc057aut.1	Rpe
uc007bij.2	Rpe
uc007bik.2	Rpe
uc007bil.2	Rpe
uc007biy.2	Cps1
uc007bja.1	BC108272
uc007bjh.2	Spag16
uc033fjj.1	Spag16
uc007bji.2	Spag16
uc007bjg.2	Spag16
uc007bjk.1	Vwc2l
uc011wmn.1	Vwc2l
uc011wmo.1	Vwc2l
uc007bjj.1	Vwc2l
uc011wmp.1	Vwc2l
uc007bjt.2	Atic
uc007bjs.2	Atic
uc007bjr.2	Atic
uc007bkf.1	Apol7d
uc007bke.1	Apol7d
uc011wmr.1	Gm8883
uc011wms.1	Gm8883
uc007bkh.1	D230017M19Rik
uc007bkk.1	Tmem169
uc007bkl.2	Xrcc5
uc007bks.2	Smarcal1
uc007bkr.2	Smarcal1
uc007bkq.2	Smarcal1
uc007bkp.2	Smarcal1
uc007bko.2	Smarcal1
uc007bkv.2	Rpl37a
uc007bkw.3	Igfbp2
uc057auw.2	Igfbp2
uc007bky.1	AK048274
uc029qpb.1	1700027A15Rik
uc007bla.2	1700027A15Rik
uc029qpc.1	D530049I02Rik
uc011wmy.1	Rufy4
uc007blk.2	Rufy4
uc007bll.1	Cxcr2
uc033fjk.1	Cxcr2
uc007blo.1	Arpc2
uc007bln.1	Arpc2
uc007blp.1	Arpc2
uc007blq.1	Gpbar1
uc007blt.1	Pnkd
uc007blw.1	Pnkd
uc007bls.2	Pnkd
uc007blu.1	Pnkd
uc056ydf.1	AK158483
uc007blx.1	Catip
uc011wna.1	Catip
uc007bly.2	Slc11a1
uc007blz.2	Ctdsp1
uc007bma.2	Mir26b
uc007bmb.2	Vil1
uc007bmf.2	Cnot9
uc007bmh.1	Plcd4
uc007bmg.1	Plcd4
uc007bmj.1	Plcd4
uc007bmk.1	Plcd4
uc011wnb.1	Plcd4
uc007bmi.1	Plcd4
uc056ydg.1	AK014836
uc007bmq.2	Bcs1l
uc007bmr.2	Bcs1l
uc007bmv.2	Stk36
uc007bmu.1	Stk36
uc011wnc.2	Stk36
uc007bmw.2	Stk36
uc007bmx.2	Stk36
uc007bmy.1	Ttll4
uc007bmz.1	Ttll4
uc007bna.2	Cyp27a1
uc007bne.1	Wnt6
uc007bnf.3	Wnt10a
uc007bng.2	Cdk5r2
uc007bnu.1	Retreg2
uc007bnt.1	Retreg2
uc007bnv.2	Retreg2
uc011wnf.1	Zfand2b
uc011wng.1	Zfand2b
uc007bnw.2	Zfand2b
uc029qpf.3	Ankzf1
uc029qpe.3	Ankzf1
uc033fjp.1	Ankzf1
uc029qpg.3	Ankzf1
uc007boe.2	Ankzf1
uc007boh.2	Stk16
uc007boi.2	Stk16
uc007boj.2	Stk16
uc007boo.2	Dnajb2
uc007bom.2	Dnajb2
uc007bon.2	Dnajb2
uc007bop.2	Dnajb2
uc011wnm.1	Dnajb2
uc007box.2	Des
uc007boz.2	Speg
uc007bpc.2	Speg
uc007bpa.1	Speg
uc011wnq.1	Speg
uc007bpb.1	Speg
uc007bpd.1	Gmppa
uc007bpe.1	Gmppa
uc007bpf.1	Gmppa
uc007bpg.1	Asic4
uc007bpl.2	Tmem198
uc007bpm.2	Tmem198
uc007bps.1	Inha
uc007bpt.2	Stk11ip
uc007bpu.1	Stk11ip
uc011wnr.1	Stk11ip
uc007bpv.2	Slc4a3
uc007bpw.2	Slc4a3
uc007bpx.2	Slc4a3
uc007bpy.1	Gm17751
uc011wns.1	Gm17751
uc033fjq.1	Mir6343
uc007bqe.1	Sgpp2
uc007bql.2	Mogat1
uc007bqk.1	Mogat1
uc007bqm.2	Mogat1
uc007bqo.2	Acsl3
uc007bqp.2	Acsl3
uc011wnu.1	Acsl3
uc007bqn.2	Utp14b
uc011wnv.1	Utp14b
uc033fjt.1	Utp14b
uc007bqq.2	Kcne4
uc033fju.1	Kcne4
uc007bqy.1	Mrpl44
uc007bqx.1	Mrpl44
uc029qpk.1	1700016L21Rik
uc007brl.2	Nyap2
uc007brm.1	Nyap2
uc007brn.1	Nyap2
uc007brj.1	Nyap2
uc007brk.1	Nyap2
uc033fjw.1	Mir6344
uc007brq.4	Rhbdd1
uc007brr.3	Rhbdd1
uc007brv.1	Col4a3
uc007brx.3	Mff
uc007bry.3	Mff
uc007brz.3	Mff
uc007bsc.3	Mff
uc057kfu.1	Mff
uc007bsb.1	Mff
uc007bsa.1	Mff
uc011woa.1	Mff
uc007bse.2	Agfg1
uc007bsg.2	Agfg1
uc057kfv.1	Agfg1
uc007bsf.2	Agfg1
uc007bsh.2	Agfg1
uc057auz.1	Krtap28-13
uc007bsk.2	Ccl20
uc007bsl.2	Ccl20
uc007bsm.2	Ccl20
uc007bso.3	Daw1
uc007bsn.3	Daw1
uc011wob.2	Daw1
uc029qpm.1	Mir5126
uc007btc.2	Fbxo36
uc056ydi.1	AK036072
uc007bte.1	BC038927
uc029qpo.1	AB346773
uc029qpr.1	AB346812
uc029qpu.1	AB346777
uc029qpw.1	AB346759
uc029qpx.1	AB346741
uc029qpy.1	AB346730
uc007btk.1	BC100303
uc007btl.1	AK087744
uc007btm.1	AK142678
uc029qqa.1	AB346777
uc029qqc.1	AB346759
uc029qqd.1	AB346741
uc007bto.1	AK163333
uc007btp.1	AK157632
uc007btq.2	Gm7609
uc007btr.2	Gm7609
uc007bts.2	BC038927
uc029qqg.1	AB346773
uc029qqj.1	AB346812
uc029qqk.1	AB334932
uc029qqm.1	AB346777
uc029qqo.1	AB346759
uc029qqp.1	AB346742
uc029qqq.1	AB346730
uc007btv.1	BC108341
uc029qqs.1	AB346777
uc029qqu.1	AB346759
uc029qqv.1	AB346741
uc029qqw.1	AB346730
uc007btw.1	M55219
uc007btx.1	Csprs
uc007bty.1	Csprs
uc029qqx.1	BC038927
uc029qra.1	AB346773
uc029qrd.1	AB346797
uc007buc.2	Sp140
uc007buh.3	Sp100
uc007buf.2	Sp100
uc007bug.2	Sp100
uc007bud.2	Sp100
uc011woc.2	Sp100
uc007bue.2	Sp100
uc033fkb.1	Mir8096
uc033fkc.1	9930111H07Rik
uc007bum.2	Cab39
uc011wof.1	Itm2c
uc029qrf.1	AK210908
uc007bup.2	4933407L21Rik
uc007buu.2	Spata3
uc007buw.2	Spata3
uc007buv.2	Spata3
uc007bur.2	Spata3
uc007but.2	Spata3
uc007bus.2	Spata3
uc011wog.1	2810459M11Rik
uc007bux.2	2810459M11Rik
uc007buy.1	Psmd1
uc007bvi.1	Armc9
uc007bvg.1	Armc9
uc007bve.2	Armc9
uc007bvh.1	Armc9
uc007bvf.1	Armc9
uc007bvd.1	Armc9
uc007bvc.1	Armc9
uc007bvj.2	Armc9
uc007bvb.1	Armc9
uc007bva.1	Armc9
uc007bvk.2	B3gnt7
uc011woj.1	C130036L24Rik
uc007bvo.2	Tex44
uc007bvp.1	Ptma
uc007bvr.1	Cops7b
uc007bvs.1	Cops7b
uc007bvw.2	Dis3l2
uc007bvv.2	Dis3l2
uc007bvu.2	Dis3l2
uc057kfw.1	Dis3l2
uc007bvx.1	AK077157
uc007bwb.1	Akp3
uc011wom.2	Akp3
uc007bwe.3	Prss56
uc007bwf.2	Chrnd
uc007bwg.1	Chrnd
uc007bwh.1	Chrng
uc033fkf.1	Chrng
uc033fkg.1	Chrng
uc007bwi.1	Chrng
uc007bwl.1	Eif4e2
uc007bwk.1	Eif4e2
uc007bwn.1	Eif4e2
uc057kfx.1	Eif4e2
uc007bwj.1	Eif4e2
uc007bwm.1	Eif4e2
uc007bwo.1	Efhd1
uc007bwr.2	Gigyf2
uc007bwt.2	Gigyf2
uc007bws.2	Gigyf2
uc011won.1	Gigyf2
uc007bwv.1	Gigyf2
uc007bwp.2	Gigyf2
uc007bwq.2	Gigyf2
uc007bww.2	3110079O15Rik
uc011woo.1	3110079O15Rik
uc011wop.2	Neu2
uc011woq.2	Neu2
uc007bwz.3	Neu2
uc007bxa.3	Neu2
uc007bxb.3	Neu2
uc007bxd.3	Inpp5d
uc007bxe.3	Inpp5d
uc007bxc.3	Inpp5d
uc007bxf.3	Inpp5d
uc007bxg.3	Inpp5d
uc007bxh.3	Inpp5d
uc007bxm.2	Atg16l1
uc007bxl.2	Atg16l1
uc007bxn.2	Atg16l1
uc029qrh.1	Atg16l1
uc007bxi.2	Atg16l1
uc007bxj.2	Atg16l1
uc007bxo.1	Atg16l1
uc011wor.1	Scarna6
uc007bxs.1	Sag
uc007bxr.1	Sag
uc007bxq.1	Sag
uc007bxp.1	Sag
uc011wos.1	Dgkd
uc007bxu.2	Dgkd
uc007bxv.2	Dgkd
uc007byf.1	Ugt1a6a
uc007byd.2	Ugt1a2
uc007byc.1	Ugt1a7c
uc007byb.1	Ugt1a9
uc007byk.1	Ugt1a1
uc007byh.1	Ugt1a5
uc007byi.1	Ugt1a2
uc007bya.1	Ugt1a10
uc029qri.1	Ugt1a6a
uc007byg.1	Ugt1a6a
uc033fkh.1	Ugt1a1
uc007bye.1	Ugt1a6a
uc033fki.1	Mroh2a
uc029qrl.1	Trpm8
uc029qrk.1	Trpm8
uc007byq.2	Spp2
uc007bys.2	Gm19589
uc007byu.1	Platr5
uc029qrm.1	1700067G17Rik
uc007byv.1	Sh3bp4
uc007byw.1	Agap1
uc007byx.1	Agap1
uc007byy.1	Agap1
uc011wpa.1	Agap1
uc007bzc.1	AK036422
uc033fkj.2	Ackr3
uc007bzh.3	Ackr3
uc033fkk.1	Ackr3
uc007bzi.1	Cops8
uc007bzm.2	Mlph
uc011wpd.1	Prlh
uc007bzt.2	Lrrfip1
uc007bzs.2	Lrrfip1
uc007bzq.2	Lrrfip1
uc007bzr.2	Lrrfip1
uc011wpe.1	Lrrfip1
uc007bzp.2	Lrrfip1
uc007bzu.2	Lrrfip1
uc007bzv.1	Rbm44
uc011wpf.1	Ramp1
uc007bzw.2	Ramp1
uc007bzx.2	Ramp1
uc007bzy.1	Ube2f
uc007bzz.1	Ube2f
uc007caa.1	Ube2f
uc007cab.1	Ube2f
uc007cac.1	Ube2f
uc007caf.1	Scly
uc007cae.1	Scly
uc007cad.1	Scly
uc007cah.1	Espnl
uc007cai.1	Klhl30
uc029qrq.1	AK199574
uc007caj.1	Erfe
uc007cax.2	Traf3ip1
uc007cay.2	Traf3ip1
uc007cbc.1	Asb1
uc007caz.1	Asb1
uc007cba.1	Asb1
uc007cbb.3	Asb1
uc033fkl.1	Asb1
uc033fkm.1	Asb1
uc007cbd.2	Twist2
uc033fkn.1	Twist2
uc007cbl.2	Olfr1413
uc007cbm.1	Olfr1412
uc007cbn.1	Olfr1411
uc007cbo.1	Olfr1410
uc007cbp.2	Olfr12
uc007cbs.1	Gpc1
uc011wpk.1	Mir149
uc007cbu.1	Dusp28
uc007cbw.2	Rnpepl1
uc007cby.1	Capn10
uc007cbx.1	Capn10
uc007ccb.2	Gpr35
uc007cca.2	Gpr35
uc007cbz.2	Gpr35
uc033fkq.1	Gpr35
uc007cdc.2	Aqp12
uc007cdd.2	Aqp12
uc007cdi.2	Agxt
uc057ava.2	Crocc2
uc057kgc.1	Crocc2
uc007cdm.1	Sned1
uc033fkr.1	Mir6901
uc056ydm.1	Sned1
uc057avb.1	AK089125
uc007cdv.1	Ppp1r7
uc033fks.1	Mir6902
uc033fkt.1	Mir6345
uc007cdw.2	Ano7
uc033fku.1	Ano7
uc007cea.3	Sept2
uc011wpo.2	Sept2
uc011wpq.2	Sept2
uc011wpp.2	Sept2
uc007cec.2	Farp2
uc007ceb.2	Farp2
uc007cee.2	Bok
uc007cei.1	AK143968
uc007cej.1	Atg4b
uc007cen.2	Ing5
uc011wpr.2	Ing5
uc007ceo.3	D2hgdh
uc007cep.3	D2hgdh
uc007ceq.2	D2hgdh
uc007cer.2	D2hgdh
uc011wps.1	D2hgdh
uc007ces.1	Gal3st2
uc029qsc.1	Gal3st2b
uc007cet.1	Gal3st2c
uc011wpt.2	Neu4
uc007ceu.2	Neu4
uc029qse.1	AB353040
uc007cew.1	4930440C22Rik
uc007cey.2	Fam174a
uc007cex.2	Fam174a
uc057ave.1	Panct2
uc007cfn.2	Gin1
uc011wpx.2	Gin1
uc007cfm.2	Gin1
uc007cft.1	1810006J02Rik
uc007cfu.2	Slco6d1
uc007cfv.2	Slco6d1
uc007cfw.2	Slco6d1
uc007cfx.1	AK144617
uc029qsj.1	AB353040
uc007cfy.1	Cntnap5b
uc007cfz.1	Cntnap5b
uc007cgb.2	Gm20268
uc029qsm.1	AB335738
uc029qso.1	AB335790
uc007cgc.1	Cdh20
uc007cge.1	Gm17634
uc007cgk.2	2310035C23Rik
uc007cgm.2	2310035C23Rik
uc007cgl.2	2310035C23Rik
uc007cgn.2	2310035C23Rik
uc007cgj.2	2310035C23Rik
uc007cgi.2	2310035C23Rik
uc007cgp.1	Tnfrsf11a
uc007cgo.1	Tnfrsf11a
uc007cgt.4	Zcchc2
uc007cgq.4	Zcchc2
uc007cgs.4	Zcchc2
uc007cgr.4	Zcchc2
uc007cgv.2	Phlpp1
uc007cgu.2	Phlpp1
uc007cgx.1	AK085305
uc007cha.1	Serpinb5
uc011wqc.1	Serpinb5
uc007chb.1	Serpinb5
uc007che.2	Serpinb12
uc007chc.2	Serpinb12
uc007chd.2	Serpinb12
uc007chf.1	Serpinb13
uc011wqd.1	Serpinb13
uc007chl.1	Serpinb11
uc007chm.2	Serpinb7
uc007chp.2	Serpinb2
uc007chn.2	Serpinb2
uc011wqe.1	Serpinb2
uc011wqf.1	Serpinb10
uc011wqg.1	Serpinb10
uc007chs.2	Serpinb8
uc007chr.2	Serpinb8
uc007cht.2	Serpinb8
uc007chu.1	D830032E09Rik
uc011wqh.1	D830032E09Rik
uc029qsq.1	AB349811
uc011wqi.2	Cdh7
uc007chw.2	Cdh7
uc057avi.1	Cdh7
uc011wqj.2	Cdh7
uc007chv.1	Cdh7
uc011wqk.2	Cdh7
uc007cia.1	Cntnap5a
uc007cic.2	Nifk
uc011wql.1	Nifk
uc057kgg.1	Clasp1
